loc,total,count_less_10C,count_less_10C_percent,count_over_10C_percent,count_less_12C,count_less_12C_percent,count_over_12C_percent
Mt. Dowe,9604,4858,50.583090379008745,49.416909620991255,4966,51.7076218242399,48.2923781757601
Newholme,586,38,6.484641638225256,93.51535836177474,92,15.699658703071673,84.30034129692832
Point Lookout,10559,826,7.822710483947343,92.17728951605265,2734,25.892603466237333,74.10739653376267
Thora,555,1,0.18018018018018017,99.81981981981981,1,0.18018018018018017,99.81981981981981
Turretfield,7967.689754689755,559.1666666666666,7.017927202016658,92.98207279798334,1461.2333333333333,18.33948582741009,81.66051417258991
