loc,seasonal_year,Spring,Summer,Autumn,Winter
Point Lookout,1987 - 1988,19.01063829787234,2.7096774193548385,22.925925925925927,8.666666666666666
Point Lookout,1988 - 1989,9.2,18.559322033898304,3.4761904761904763,0
Point Lookout,1989 - 1990,40.56565656565657,4.229166666666667,1.3333333333333333,NA
Point Lookout,1990 - 1991,NA,7.56,NA,NA
Rutherglen,1980 - 1981,47.176991150442475,NA,28.738636363636363,0.24489795918367346
Rutherglen,1981 - 1982,13.52892561983471,29.305084745762713,33.357894736842105,2.978021978021978
Rutherglen,1982 - 1983,6.097560975609756,69.50877192982456,3.617021276595745,NA
Rutherglen,1983 - 1984,NA,14.517857142857142,NA,NA
Swanhill,1989 - 1990,NA,NA,NA,2.857142857142857
Swanhill,1990 - 1991,12.883333333333333,NA,NA,NA
Swanhill,1991 - 1992,6.340909090909091,NA,NA,NA
Thora,1985 - 1986,1.5217391304347827,NA,2.7241379310344827,NA
Thora,1986 - 1987,3.5076923076923077,1.7692307692307692,1.5,NA
Thora,1987 - 1988,2.1666666666666665,1.4444444444444444,1.4444444444444444,NA
Thora,1988 - 1989,NA,1.15,NA,NA
Turretfield,1960 - 1961,2,NA,NA,NA
Turretfield,1961 - 1962,3.4489795918367347,1.0666666666666667,NA,NA
Turretfield,1962 - 1963,5.851239669421488,0.40350877192982454,0,NA
Turretfield,1963 - 1964,4.565573770491803,0.15,NA,NA
Turretfield,1964 - 1965,6.80327868852459,0.36363636363636365,NA,NA
Turretfield,1965 - 1966,1.9385964912280702,1.4146341463414633,0,NA
Turretfield,1966 - 1967,9.434426229508198,0.7413793103448276,NA,2
Turretfield,1967 - 1968,2.4344262295081966,2.5208333333333335,NA,NA
Turretfield,1968 - 1969,2.1610169491525424,0.4166666666666667,0,0
Turretfield,1969 - 1970,0.5491803278688525,2.216666666666667,0.16304347826086957,0.1956521739130435
Turretfield,1970 - 1971,1.3333333333333333,0.29310344827586204,0.10869565217391304,0.09782608695652174
Turretfield,1971 - 1972,1.1557377049180328,0.9666666666666667,0,0.3170731707317073
