run,receptor,hour_along,traj_dt,lat,lon,height,traj_dt_i,lat_i,lon_i,height_i,pressure,theta,air_temp,rainfall,mixdepth,rh,sp_humidity,h2o_mixrate,terr_msl,sun_flux,timespan
date_1964-11-01_loc_Turretfield,1,0,1964-10-31T19:00:00Z,-34.558,138.834,1000,1964-10-31T19:00:00Z,-34.55784,138.83408,1000,887.7,292.1,282.3,0,309.4,43.3,3.5,3.5,117.8,0,1
date_1964-11-01_loc_Turretfield,1,-1,1964-10-31T18:00:00Z,-34.45,138.675,1014.9,1964-10-31T19:00:00Z,-34.55784,138.83408,1000,886.2,291.9,282,0,250,44.7,3.5,3.6,122.9,0,1
date_1964-11-01_loc_Turretfield,1,-2,1964-10-31T17:00:00Z,-34.361,138.517,1033.9,1964-10-31T19:00:00Z,-34.55784,138.83408,1000,883.5,292.1,281.9,0,285.9,44.2,3.5,3.5,125.9,0,1
date_1964-11-01_loc_Turretfield,1,-3,1964-10-31T16:00:00Z,-34.307,138.354,1053.7,1964-10-31T19:00:00Z,-34.55784,138.83408,1000,881.3,292.1,281.7,0,327.5,44.1,3.4,3.5,128.9,0,1
date_1964-11-01_loc_Turretfield,1,-4,1964-10-31T15:00:00Z,-34.287,138.185,1075.1,1964-10-31T19:00:00Z,-34.55784,138.83408,1000,879.1,292,281.4,0,372.9,44.2,3.4,3.4,130.2,0,1
date_1964-11-01_loc_Turretfield,1,-5,1964-10-31T14:00:00Z,-34.303,138.01,1099.2,1964-10-31T19:00:00Z,-34.55784,138.83408,1000,876.8,291.9,281.1,0,419.3,44.7,3.4,3.4,129.8,0,1
date_1964-11-01_loc_Turretfield,1,-6,1964-10-31T13:00:00Z,-34.354,137.827,1127.3,1964-10-31T19:00:00Z,-34.55784,138.83408,1000,874.2,291.7,280.7,0,462.9,45.5,3.3,3.4,127.7,0,1
date_1964-11-01_loc_Turretfield,1,-7,1964-10-31T12:00:00Z,-34.44,137.636,1161.3,1964-10-31T19:00:00Z,-34.55784,138.83408,1000,871.3,291.4,280.1,0,498.6,46.5,3.3,3.3,124,0,1
date_1964-11-01_loc_Turretfield,1,-8,1964-10-31T11:00:00Z,-34.53,137.421,1197.9,1964-10-31T19:00:00Z,-34.55784,138.83408,1000,868,291.4,279.8,0,632.2,49,3.4,3.4,105.3,0,1
date_1964-11-01_loc_Turretfield,1,-9,1964-10-31T10:00:00Z,-34.593,137.174,1229.9,1964-10-31T19:00:00Z,-34.55784,138.83408,1000,866,291.4,279.6,0,764.9,51.4,3.6,3.6,95,0,1
date_1964-11-01_loc_Turretfield,1,-10,1964-10-31T09:00:00Z,-34.633,136.899,1256.6,1964-10-31T19:00:00Z,-34.55784,138.83408,1000,864.6,291.4,279.5,0,905.2,53.7,3.7,3.7,85.3,59.6,1
date_1964-11-01_loc_Turretfield,1,-11,1964-10-31T08:00:00Z,-34.651,136.598,1277.7,1964-10-31T19:00:00Z,-34.55784,138.83408,1000,863.7,291.4,279.4,0,1051.5,55.7,3.8,3.8,76.2,294.1,1
date_1964-11-01_loc_Turretfield,1,-12,1964-10-31T07:00:00Z,-34.651,136.271,1293.2,1964-10-31T19:00:00Z,-34.55784,138.83408,1000,863.3,291.4,279.4,0,1202.8,57.5,3.9,3.9,67.4,518.8,1
