run,receptor,hour_along,traj_dt,lat,lon,height,traj_dt_i,lat_i,lon_i,height_i,pressure,theta,air_temp,rainfall,mixdepth,rh,sp_humidity,h2o_mixrate,terr_msl,sun_flux,timespan
date_1990-10-10_loc_SWANHILL,1,0,1990-10-09T19:00:00Z,-35.496,143.563,1000,1990-10-09T19:00:00Z,-35.496,143.5631,1000,885.1,289.5,279.5,0,397.9,62.4,4.2,4.2,118.7,0,1
date_1990-10-10_loc_SWANHILL,1,-1,1990-10-09T18:00:00Z,-35.416,143.352,994.9,1990-10-09T19:00:00Z,-35.496,143.5631,1000,887.2,289.2,279.4,0,272.1,64.1,4.3,4.3,102.8,0,1
date_1990-10-10_loc_SWANHILL,1,-2,1990-10-09T17:00:00Z,-35.349,143.149,989.2,1990-10-09T19:00:00Z,-35.496,143.5631,1000,890,289.2,279.7,0,359.3,63.7,4.3,4.3,89.7,0,1
date_1990-10-10_loc_SWANHILL,1,-3,1990-10-09T16:00:00Z,-35.283,142.965,983.2,1990-10-09T19:00:00Z,-35.496,143.5631,1000,892.6,289.3,280.1,0,457.7,63.3,4.4,4.4,75.3,0,1
date_1990-10-10_loc_SWANHILL,1,-4,1990-10-09T15:00:00Z,-35.218,142.798,975.6,1990-10-09T19:00:00Z,-35.496,143.5631,1000,895.2,289.5,280.4,0,566.2,62.7,4.4,4.5,62.1,0,1
date_1990-10-10_loc_SWANHILL,1,-5,1990-10-09T14:00:00Z,-35.156,142.649,965.5,1990-10-09T19:00:00Z,-35.496,143.5631,1000,898,289.6,280.8,0,683.7,62.1,4.5,4.5,50.2,0,1
date_1990-10-10_loc_SWANHILL,1,-6,1990-10-09T13:00:00Z,-35.099,142.517,952,1990-10-09T19:00:00Z,-35.496,143.5631,1000,901.1,289.8,281.3,0,808.8,61.3,4.5,4.6,39.5,0,1
date_1990-10-10_loc_SWANHILL,1,-7,1990-10-09T12:00:00Z,-35.049,142.401,934.8,1990-10-09T19:00:00Z,-35.496,143.5631,1000,903.6,289.9,281.6,0,915.5,60.6,4.6,4.6,39.7,0,1
date_1990-10-10_loc_SWANHILL,1,-8,1990-10-09T11:00:00Z,-35.006,142.294,916.2,1990-10-09T19:00:00Z,-35.496,143.5631,1000,905.3,290.1,282,0,972.7,61.5,4.8,4.8,47.5,0,1
date_1990-10-10_loc_SWANHILL,1,-9,1990-10-09T10:00:00Z,-34.97,142.188,898.5,1990-10-09T19:00:00Z,-35.496,143.5631,1000,906.4,290.4,282.3,0,1026.3,62.2,4.9,5,51.1,0,1
date_1990-10-10_loc_SWANHILL,1,-10,1990-10-09T09:00:00Z,-34.941,142.083,881.4,1990-10-09T19:00:00Z,-35.496,143.5631,1000,907.5,290.6,282.6,0,1085.7,62.9,5.1,5.1,54.9,0,1
date_1990-10-10_loc_SWANHILL,1,-11,1990-10-09T08:00:00Z,-34.916,141.975,864.5,1990-10-09T19:00:00Z,-35.496,143.5631,1000,908.6,290.8,283,0,1151.1,63.5,5.2,5.3,58.7,140.4,1
date_1990-10-10_loc_SWANHILL,1,-12,1990-10-09T07:00:00Z,-34.896,141.867,847.6,1990-10-09T19:00:00Z,-35.496,143.5631,1000,909.7,291.1,283.3,0,1221.6,64,5.4,5.4,62.5,371.6,1
