run,receptor,hour_along,traj_dt,lat,lon,height,traj_dt_i,lat_i,lon_i,height_i,pressure,theta,air_temp,rainfall,mixdepth,rh,sp_humidity,h2o_mixrate,terr_msl,sun_flux,timespan
date_1981-11-07_loc_ARARAT,1,0,1981-11-06T19:00:00Z,-37.397,143.084,1000,1981-11-06T19:00:00Z,-37.397341,143.083979,1000,893.8,286.8,277.7,0,324.9,53.9,3.2,3.2,129.4,0,7
date_1981-11-07_loc_ARARAT,1,-1,1981-11-06T18:00:00Z,-37.423,143.267,1036.9,1981-11-06T19:00:00Z,-37.397341,143.083979,1000,888.4,286.6,277,0,250,54.7,3.1,3.1,142.2,0,7
date_1981-11-07_loc_ARARAT,1,-2,1981-11-06T17:00:00Z,-37.468,143.422,1076.7,1981-11-06T19:00:00Z,-37.397341,143.083979,1000,882.6,286.8,276.7,0,286.5,56,3.1,3.1,156.7,0,7
date_1981-11-07_loc_ARARAT,1,-3,1981-11-06T16:00:00Z,-37.528,143.54,1118.6,1981-11-06T19:00:00Z,-37.397341,143.083979,1000,877.2,286.9,276.4,0,333.3,57.6,3.1,3.1,163.5,0,7
date_1981-11-07_loc_ARARAT,1,-4,1981-11-06T15:00:00Z,-37.601,143.619,1162.3,1981-11-06T19:00:00Z,-37.397341,143.083979,1000,872.4,287.1,276.1,0,389.7,59.1,3.2,3.2,164.9,0,7
date_1981-11-07_loc_ARARAT,1,-5,1981-11-06T14:00:00Z,-37.684,143.659,1207.5,1981-11-06T19:00:00Z,-37.397341,143.083979,1000,867.8,287.2,275.7,0,447.4,60.7,3.2,3.2,163.1,0,7
date_1981-11-07_loc_ARARAT,1,-6,1981-11-06T13:00:00Z,-37.775,143.662,1254.3,1981-11-06T19:00:00Z,-37.397341,143.083979,1000,863.4,287.2,275.4,0,503.9,62.3,3.2,3.2,158.5,0,7
date_1981-11-07_loc_ARARAT,1,-7,1981-11-06T12:00:00Z,-37.872,143.63,1302.7,1981-11-06T19:00:00Z,-37.397341,143.083979,1000,859.1,287.3,275.1,0,557.7,63.6,3.2,3.2,151.4,0,7
date_1981-11-07_loc_ARARAT,1,-8,1981-11-06T11:00:00Z,-37.975,143.578,1352.3,1981-11-06T19:00:00Z,-37.397341,143.083979,1000,854.1,287.9,275.2,0,667.5,61.8,3.2,3.2,139.2,0,7
date_1981-11-07_loc_ARARAT,1,-9,1981-11-06T10:00:00Z,-38.082,143.523,1401.9,1981-11-06T19:00:00Z,-37.397341,143.083979,1000,849.3,288.4,275.3,0,762.7,60.2,3.1,3.1,130.4,0,7
date_1981-11-07_loc_ARARAT,1,-10,1981-11-06T09:00:00Z,-38.193,143.466,1452.3,1981-11-06T19:00:00Z,-37.397341,143.083979,1000,844.6,288.9,275.3,0,842.5,58.8,3.1,3.1,121.5,2.7,7
date_1981-11-07_loc_ARARAT,1,-11,1981-11-06T08:00:00Z,-38.309,143.408,1503.7,1981-11-06T19:00:00Z,-37.397341,143.083979,1000,839.9,289.3,275.2,0,906.1,57.4,3,3,112.5,111.8,7
date_1981-11-07_loc_ARARAT,1,-12,1981-11-06T07:00:00Z,-38.428,143.349,1556.5,1981-11-06T19:00:00Z,-37.397341,143.083979,1000,835.1,289.7,275.1,0,952.6,56.1,2.9,2.9,103.4,219.3,7
