run,receptor,hour_along,traj_dt,lat,lon,height,traj_dt_i,lat_i,lon_i,height_i,pressure,theta,air_temp,rainfall,mixdepth,rh,sp_humidity,h2o_mixrate,terr_msl,sun_flux
date_1987-10-30_loc_ARARAT,1,0,1987-10-29T19:00:00Z,-37.397,143.084,50,1987-10-29T19:00:00Z,-37.397341,143.083979,50,1001.1,287.9,288,0,284.5,48.4,5.1,5.1,134.6,0
date_1987-10-30_loc_ARARAT,1,-1,1987-10-29T18:00:00Z,-37.286,143.145,50.1,1987-10-29T19:00:00Z,-37.397341,143.083979,50,1001,286.4,286.4,0,250,51.9,4.9,4.9,135.5,0
date_1987-10-30_loc_ARARAT,1,-2,1987-10-29T17:00:00Z,-37.195,143.216,51.3,1987-10-29T19:00:00Z,-37.397341,143.083979,50,1000.7,287,287,0,250,50.2,4.9,4.9,137.9,0
date_1987-10-30_loc_ARARAT,1,-3,1987-10-29T16:00:00Z,-37.133,143.297,53.3,1987-10-29T19:00:00Z,-37.397341,143.083979,50,1000.1,287.6,287.6,0,250,48.6,4.9,5,141.7,0
date_1987-10-30_loc_ARARAT,1,-4,1987-10-29T15:00:00Z,-37.098,143.389,56.2,1987-10-29T19:00:00Z,-37.397341,143.083979,50,999.3,288.3,288.3,0,250,47,5,5,146.7,0
date_1987-10-30_loc_ARARAT,1,-5,1987-10-29T14:00:00Z,-37.088,143.489,60,1987-10-29T19:00:00Z,-37.397341,143.083979,50,998.2,289,288.9,0,250,45.4,5,5.1,153,0
date_1987-10-30_loc_ARARAT,1,-6,1987-10-29T13:00:00Z,-37.1,143.599,64.7,1987-10-29T19:00:00Z,-37.397341,143.083979,50,996.9,289.7,289.4,0,250,43.8,5,5.1,160.5,0
date_1987-10-30_loc_ARARAT,1,-7,1987-10-29T12:00:00Z,-37.131,143.719,70.4,1987-10-29T19:00:00Z,-37.397341,143.083979,50,995.4,290.3,289.9,0,250,42.2,5,5,169.2,0
date_1987-10-30_loc_ARARAT,1,-8,1987-10-29T11:00:00Z,-37.173,143.838,76.2,1987-10-29T19:00:00Z,-37.397341,143.083979,50,993.6,290.9,290.4,0,336.3,40.5,4.9,5,176,0
date_1987-10-30_loc_ARARAT,1,-9,1987-10-29T10:00:00Z,-37.217,143.944,81.4,1987-10-29T19:00:00Z,-37.397341,143.083979,50,991.7,291.5,290.8,0,416.1,38.6,4.8,4.9,184.4,0
date_1987-10-30_loc_ARARAT,1,-10,1987-10-29T09:00:00Z,-37.264,144.039,85.8,1987-10-29T19:00:00Z,-37.397341,143.083979,50,990,292,291.2,0,488.9,36.7,4.7,4.8,192,0
date_1987-10-30_loc_ARARAT,1,-11,1987-10-29T08:00:00Z,-37.315,144.121,89.6,1987-10-29T19:00:00Z,-37.397341,143.083979,50,988.5,292.5,291.5,0,553.8,34.8,4.6,4.6,198.8,180.2
date_1987-10-30_loc_ARARAT,1,-12,1987-10-29T07:00:00Z,-37.369,144.191,92.7,1987-10-29T19:00:00Z,-37.397341,143.083979,50,987.2,293,291.9,0,609.9,32.8,4.4,4.5,205,399.3
