run,receptor,hour_along,traj_dt,lat,lon,height,traj_dt_i,lat_i,lon_i,height_i,pressure,theta,air_temp,rainfall,mixdepth,rh,sp_humidity,h2o_mixrate,terr_msl,sun_flux,timespan
date_1983-11-12_loc_ARARAT,1,0,1983-11-11T19:00:00Z,-37.397,143.084,50,1983-11-11T19:00:00Z,-37.397341,143.083979,50,993.4,287.6,287.1,0,324.8,60.5,6,6,134,0,4
date_1983-11-12_loc_ARARAT,1,-1,1983-11-11T18:00:00Z,-37.373,142.94,48.5,1983-11-11T19:00:00Z,-37.397341,143.083979,50,994.1,287.2,286.7,0,250,61.7,6,6,124.4,0,4
date_1983-11-12_loc_ARARAT,1,-2,1983-11-11T17:00:00Z,-37.351,142.816,47.6,1983-11-11T19:00:00Z,-37.397341,143.083979,50,995.1,287.8,287.4,0,271.7,57.8,5.8,5.9,117.1,0,4
date_1983-11-12_loc_ARARAT,1,-3,1983-11-11T16:00:00Z,-37.342,142.722,46.4,1983-11-11T19:00:00Z,-37.397341,143.083979,50,995.8,288.4,288.1,0,295.5,54,5.7,5.7,110.8,0,4
date_1983-11-12_loc_ARARAT,1,-4,1983-11-11T15:00:00Z,-37.344,142.66,45.1,1983-11-11T19:00:00Z,-37.397341,143.083979,50,996.4,289,288.7,0,319.9,50.2,5.5,5.5,106.8,0,4
date_1983-11-12_loc_ARARAT,1,-5,1983-11-11T14:00:00Z,-37.356,142.631,43.6,1983-11-11T19:00:00Z,-37.397341,143.083979,50,996.7,289.6,289.3,0,343.5,46.4,5.3,5.3,105.1,0,4
date_1983-11-12_loc_ARARAT,1,-6,1983-11-11T13:00:00Z,-37.378,142.638,41.8,1983-11-11T19:00:00Z,-37.397341,143.083979,50,996.8,290.1,289.8,0,364.8,42.6,5,5.1,106.1,0,4
date_1983-11-12_loc_ARARAT,1,-7,1983-11-11T12:00:00Z,-37.411,142.683,39.9,1983-11-11T19:00:00Z,-37.397341,143.083979,50,996.5,290.6,290.3,0,382.1,39,4.7,4.8,109.8,0,4
date_1983-11-12_loc_ARARAT,1,-8,1983-11-11T11:00:00Z,-37.448,142.741,38.3,1983-11-11T19:00:00Z,-37.397341,143.083979,50,996.6,290.7,290.4,0,470.8,37.8,4.6,4.6,104.1,0,4
date_1983-11-12_loc_ARARAT,1,-9,1983-11-11T10:00:00Z,-37.483,142.778,37.1,1983-11-11T19:00:00Z,-37.397341,143.083979,50,996.7,290.9,290.6,0,558.9,36.5,4.5,4.5,107.5,0,4
date_1983-11-12_loc_ARARAT,1,-10,1983-11-11T09:00:00Z,-37.514,142.793,36.4,1983-11-11T19:00:00Z,-37.397341,143.083979,50,997,291.1,290.8,0,648.4,35.2,4.4,4.4,108.3,15.1,4
date_1983-11-12_loc_ARARAT,1,-11,1983-11-11T08:00:00Z,-37.541,142.783,36,1983-11-11T19:00:00Z,-37.397341,143.083979,50,997.5,291.3,291.1,0,738.6,34,4.3,4.4,106.6,124,4
date_1983-11-12_loc_ARARAT,1,-12,1983-11-11T07:00:00Z,-37.563,142.748,36.1,1983-11-11T19:00:00Z,-37.397341,143.083979,50,998.2,291.5,291.3,0,826.8,32.8,4.3,4.3,103.4,231.3,4
