run,receptor,hour_along,traj_dt,lat,lon,height,traj_dt_i,lat_i,lon_i,height_i,pressure,theta,air_temp,rainfall,mixdepth,rh,sp_humidity,h2o_mixrate,terr_msl,sun_flux,timespan
date_1967-11-03_loc_Turretfield,1,0,1967-11-02T19:00:00Z,-34.558,138.834,1000,1967-11-02T19:00:00Z,-34.55784,138.83408,1000,886.7,302,291.7,0,270.5,21.4,3.2,3.2,120.5,0,1
date_1967-11-03_loc_Turretfield,1,-1,1967-11-02T18:00:00Z,-34.324,138.726,956.4,1967-11-02T19:00:00Z,-34.55784,138.83408,1000,890.3,302.1,292.2,0,250,20.5,3.1,3.2,130.8,0,1
date_1967-11-03_loc_Turretfield,1,-2,1967-11-02T17:00:00Z,-34.098,138.645,915.5,1967-11-02T19:00:00Z,-34.55784,138.83408,1000,893.7,302.6,293,0,330.8,18.7,3,3,146.6,0,1
date_1967-11-03_loc_Turretfield,1,-3,1967-11-02T16:00:00Z,-33.886,138.613,876.8,1967-11-02T19:00:00Z,-34.55784,138.83408,1000,896.7,303.1,293.8,0,435.2,17,2.9,2.9,157,0,1
date_1967-11-03_loc_Turretfield,1,-4,1967-11-02T15:00:00Z,-33.687,138.627,839.7,1967-11-02T19:00:00Z,-34.55784,138.83408,1000,899.6,303.6,294.6,0,563.1,15.3,2.7,2.7,167,0,1
date_1967-11-03_loc_Turretfield,1,-5,1967-11-02T14:00:00Z,-33.499,138.687,804.2,1967-11-02T19:00:00Z,-34.55784,138.83408,1000,902.4,304.2,295.3,0,713.3,13.6,2.5,2.5,176.4,0,1
date_1967-11-03_loc_Turretfield,1,-6,1967-11-02T13:00:00Z,-33.323,138.791,770,1967-11-02T19:00:00Z,-34.55784,138.83408,1000,905.3,304.7,296.1,0,883.7,11.9,2.3,2.3,185.5,0,1
date_1967-11-03_loc_Turretfield,1,-7,1967-11-02T12:00:00Z,-33.161,138.94,737.1,1967-11-02T19:00:00Z,-34.55784,138.83408,1000,908.1,305.1,296.8,0,1071.3,10.2,2,2,194.1,0,1
date_1967-11-03_loc_Turretfield,1,-8,1967-11-02T11:00:00Z,-33.011,139.101,706.9,1967-11-02T19:00:00Z,-34.55784,138.83408,1000,910.6,305.7,297.6,0,1438.5,8.8,1.8,1.8,204.2,0,1
date_1967-11-03_loc_Turretfield,1,-9,1967-11-02T10:00:00Z,-32.877,139.243,681.4,1967-11-02T19:00:00Z,-34.55784,138.83408,1000,912.6,306.1,298.2,0,1814.3,7.6,1.6,1.6,210.7,0,1
date_1967-11-03_loc_Turretfield,1,-10,1967-11-02T09:00:00Z,-32.761,139.365,660.7,1967-11-02T19:00:00Z,-34.55784,138.83408,1000,914.2,306.6,298.8,0,2193.6,6.5,1.4,1.5,216.3,9.1,1
date_1967-11-03_loc_Turretfield,1,-11,1967-11-02T08:00:00Z,-32.662,139.464,645.3,1967-11-02T19:00:00Z,-34.55784,138.83408,1000,915.3,306.9,299.3,0,2572.1,5.5,1.3,1.3,220.9,125.4,1
date_1967-11-03_loc_Turretfield,1,-12,1967-11-02T07:00:00Z,-32.585,139.538,635.2,1967-11-02T19:00:00Z,-34.55784,138.83408,1000,916,307.3,299.7,0,2946.5,4.6,1.1,1.1,224.5,238.7,1
