run,receptor,hour_along,traj_dt,lat,lon,height,traj_dt_i,lat_i,lon_i,height_i,pressure,theta,air_temp,rainfall,mixdepth,rh,sp_humidity,h2o_mixrate,terr_msl,sun_flux,timespan
date_1984-03-05_loc_ARARAT,1,0,1984-03-04T19:00:00Z,-37.397,143.084,1000,1984-03-04T19:00:00Z,-37.397341,143.083979,1000,889.8,297.6,287.8,0,292.1,37.7,4.4,4.4,138.5,0,3
date_1984-03-05_loc_ARARAT,1,-1,1984-03-04T18:00:00Z,-37.336,142.965,1033.5,1984-03-04T19:00:00Z,-37.397341,143.083979,1000,887,297.7,287.6,0,250,37.7,4.3,4.4,129.2,0,3
date_1984-03-05_loc_ARARAT,1,-2,1984-03-04T17:00:00Z,-37.276,142.854,1069,1984-03-04T19:00:00Z,-37.397341,143.083979,1000,884.1,298.1,287.8,0,253.1,36.5,4.2,4.3,114,0,3
date_1984-03-05_loc_ARARAT,1,-3,1984-03-04T16:00:00Z,-37.223,142.76,1102.6,1984-03-04T19:00:00Z,-37.397341,143.083979,1000,881.6,298.5,287.9,0,254.5,35.4,4.2,4.2,106.6,0,3
date_1984-03-05_loc_ARARAT,1,-4,1984-03-04T15:00:00Z,-37.177,142.683,1134.8,1984-03-04T19:00:00Z,-37.397341,143.083979,1000,879.2,298.9,288.1,0,254.8,34.2,4.1,4.1,100.5,0,3
date_1984-03-05_loc_ARARAT,1,-5,1984-03-04T14:00:00Z,-37.137,142.623,1165.7,1984-03-04T19:00:00Z,-37.397341,143.083979,1000,876.8,299.2,288.2,0,254.3,32.9,4,4,95.5,0,3
date_1984-03-05_loc_ARARAT,1,-6,1984-03-04T13:00:00Z,-37.1,142.578,1195.5,1984-03-04T19:00:00Z,-37.397341,143.083979,1000,874.5,299.6,288.3,0,253.4,31.7,3.9,3.9,91.6,0,3
date_1984-03-05_loc_ARARAT,1,-7,1984-03-04T12:00:00Z,-37.065,142.548,1224.2,1984-03-04T19:00:00Z,-37.397341,143.083979,1000,872.2,299.9,288.4,0,252.5,30.5,3.8,3.8,88.8,0,3
date_1984-03-05_loc_ARARAT,1,-8,1984-03-04T11:00:00Z,-37.036,142.524,1251.2,1984-03-04T19:00:00Z,-37.397341,143.083979,1000,869.5,299.9,288.2,0,389,29.6,3.6,3.6,89.8,0,3
date_1984-03-05_loc_ARARAT,1,-9,1984-03-04T10:00:00Z,-37.017,142.492,1275.8,1984-03-04T19:00:00Z,-37.397341,143.083979,1000,867,299.9,287.9,0,528,28.8,3.4,3.5,87.8,0,3
date_1984-03-05_loc_ARARAT,1,-10,1984-03-04T09:00:00Z,-37.006,142.455,1297.8,1984-03-04T19:00:00Z,-37.397341,143.083979,1000,864.7,299.8,287.6,0,668,28.4,3.3,3.3,87.2,2.6,3
date_1984-03-05_loc_ARARAT,1,-11,1984-03-04T08:00:00Z,-37.005,142.412,1317.2,1984-03-04T19:00:00Z,-37.397341,143.083979,1000,862.5,299.6,287.2,0,806.6,28.2,3.2,3.3,86.7,117.2,3
date_1984-03-05_loc_ARARAT,1,-12,1984-03-04T07:00:00Z,-37.013,142.366,1334,1984-03-04T19:00:00Z,-37.397341,143.083979,1000,860.5,299.5,286.9,0,942.5,28.1,3.2,3.2,86.3,226.3,3
