run,receptor,hour_along,traj_dt,lat,lon,height,traj_dt_i,lat_i,lon_i,height_i,pressure,theta,air_temp,rainfall,mixdepth,rh,sp_humidity,h2o_mixrate,terr_msl,sun_flux,timespan
date_1981-10-12_loc_RUTHERGLEN,1,0,1981-10-11T19:00:00Z,-36.101,146.507,50,1981-10-11T19:00:00Z,-36.101,146.5073,50,972.4,285.8,283.5,0,321.8,72.2,5.8,5.8,363.5,0,4
date_1981-10-12_loc_RUTHERGLEN,1,-1,1981-10-11T18:00:00Z,-36.111,146.599,52.5,1981-10-11T19:00:00Z,-36.101,146.5073,50,971,285,282.6,0,250,76.3,5.8,5.8,371.2,0,4
date_1981-10-12_loc_RUTHERGLEN,1,-2,1981-10-11T17:00:00Z,-36.132,146.689,55.1,1981-10-11T19:00:00Z,-36.101,146.5073,50,969.9,285.7,283.2,0,253.2,73.7,5.8,5.9,381.5,0,4
date_1981-10-12_loc_RUTHERGLEN,1,-3,1981-10-11T16:00:00Z,-36.165,146.776,57.5,1981-10-11T19:00:00Z,-36.101,146.5073,50,968.9,286.4,283.8,0,255.9,71.1,5.8,5.9,388.1,0,4
date_1981-10-12_loc_RUTHERGLEN,1,-4,1981-10-11T15:00:00Z,-36.209,146.863,59.9,1981-10-11T19:00:00Z,-36.101,146.5073,50,968.1,287,284.3,0,258.1,68.6,5.8,5.9,394,0,4
date_1981-10-12_loc_RUTHERGLEN,1,-5,1981-10-11T14:00:00Z,-36.264,146.949,62.1,1981-10-11T19:00:00Z,-36.101,146.5073,50,967.3,287.5,284.8,0,259.7,66.3,5.8,5.9,399.2,0,4
date_1981-10-12_loc_RUTHERGLEN,1,-6,1981-10-11T13:00:00Z,-36.33,147.036,64.2,1981-10-11T19:00:00Z,-36.101,146.5073,50,966.6,288,285.2,0,260.8,64.1,5.8,5.8,403.7,0,4
date_1981-10-12_loc_RUTHERGLEN,1,-7,1981-10-11T12:00:00Z,-36.407,147.125,66,1981-10-11T19:00:00Z,-36.101,146.5073,50,966,288.5,285.6,0,261.1,62,5.7,5.8,407.5,0,4
date_1981-10-12_loc_RUTHERGLEN,1,-8,1981-10-11T11:00:00Z,-36.491,147.207,67.3,1981-10-11T19:00:00Z,-36.101,146.5073,50,965.4,289.4,286.5,0,396.7,57.9,5.7,5.7,405.6,0,4
date_1981-10-12_loc_RUTHERGLEN,1,-9,1981-10-11T10:00:00Z,-36.58,147.274,67.6,1981-10-11T19:00:00Z,-36.101,146.5073,50,965.1,290.3,287.4,0,526.9,53.5,5.6,5.6,406.1,0,4
date_1981-10-12_loc_RUTHERGLEN,1,-10,1981-10-11T09:00:00Z,-36.675,147.326,67.1,1981-10-11T19:00:00Z,-36.101,146.5073,50,965.1,291.2,288.2,0,651.8,49,5.4,5.4,404.8,0,4
date_1981-10-12_loc_RUTHERGLEN,1,-11,1981-10-11T08:00:00Z,-36.781,147.363,65.7,1981-10-11T19:00:00Z,-36.101,146.5073,50,965.5,292,289,0,771.4,44.1,5.1,5.1,401.8,65.9,4
date_1981-10-12_loc_RUTHERGLEN,1,-12,1981-10-11T07:00:00Z,-36.899,147.388,63.7,1981-10-11T19:00:00Z,-36.101,146.5073,50,966,292.7,289.8,0,884.6,39.1,4.8,4.8,397,292.9,4
