run,receptor,hour_along,traj_dt,lat,lon,height,traj_dt_i,lat_i,lon_i,height_i,pressure,theta,air_temp,rainfall,mixdepth,rh,sp_humidity,h2o_mixrate,terr_msl,sun_flux,timespan
date_1983-02-03_loc_HAMILTON,1,0,1983-02-02T19:00:00Z,-37.822,142.067,50,1983-02-02T19:00:00Z,-37.8216,142.0668,50,1005.2,287.3,287.7,0,330,73.8,7.5,7.6,78.7,0,2
date_1983-02-03_loc_HAMILTON,1,-1,1983-02-02T18:00:00Z,-37.894,141.881,56.2,1983-02-02T19:00:00Z,-37.8216,142.0668,50,1004.8,286.9,287.3,0,337.9,76.2,7.6,7.7,73.7,0,2
date_1983-02-03_loc_HAMILTON,1,-2,1983-02-02T17:00:00Z,-37.961,141.683,63.9,1983-02-02T19:00:00Z,-37.8216,142.0668,50,1004.9,287.2,287.6,0,373.8,73.9,7.5,7.6,65.9,0,2
date_1983-02-03_loc_HAMILTON,1,-3,1983-02-02T16:00:00Z,-38.017,141.469,70.4,1983-02-02T19:00:00Z,-37.8216,142.0668,50,1005.3,287.4,287.8,0,409.9,71.9,7.4,7.5,61,0,2
date_1983-02-03_loc_HAMILTON,1,-4,1983-02-02T15:00:00Z,-38.061,141.239,75.8,1983-02-02T19:00:00Z,-37.8216,142.0668,50,1005.8,287.5,287.9,0,447.6,70,7.2,7.3,56.3,0,2
date_1983-02-03_loc_HAMILTON,1,-5,1983-02-02T14:00:00Z,-38.093,140.995,80,1983-02-02T19:00:00Z,-37.8216,142.0668,50,1006.1,287.5,288,0,488.2,68.4,7.1,7.2,51.8,0,2
date_1983-02-03_loc_HAMILTON,1,-6,1983-02-02T13:00:00Z,-38.112,140.737,83.1,1983-02-02T19:00:00Z,-37.8216,142.0668,50,1006.6,287.6,288.1,0,533.1,67,7,7.1,47.7,0,2
date_1983-02-03_loc_HAMILTON,1,-7,1983-02-02T12:00:00Z,-38.117,140.465,85.4,1983-02-02T19:00:00Z,-37.8216,142.0668,50,1007.2,287.6,288.2,0,583.4,65.8,6.9,7,43.8,0,2
date_1983-02-03_loc_HAMILTON,1,-8,1983-02-02T11:00:00Z,-38.116,140.189,87.6,1983-02-02T19:00:00Z,-37.8216,142.0668,50,1007.1,287.6,288.2,0,663.4,65.6,6.9,7,38.8,0,2
date_1983-02-03_loc_HAMILTON,1,-9,1983-02-02T10:00:00Z,-38.118,139.915,90.6,1983-02-02T19:00:00Z,-37.8216,142.0668,50,1006.9,287.7,288.3,0,729.8,65.2,6.9,6.9,34.4,0,2
date_1983-02-03_loc_HAMILTON,1,-10,1983-02-02T09:00:00Z,-38.123,139.644,94.3,1983-02-02T19:00:00Z,-37.8216,142.0668,50,1006.5,287.8,288.3,0,776.1,64.9,6.9,6.9,30.2,180.9,2
date_1983-02-03_loc_HAMILTON,1,-11,1983-02-02T08:00:00Z,-38.127,139.374,98.9,1983-02-02T19:00:00Z,-37.8216,142.0668,50,1006,287.8,288.3,0,819.7,64.7,6.8,6.9,26,400.3,2
date_1983-02-03_loc_HAMILTON,1,-12,1983-02-02T07:00:00Z,-38.129,139.102,104.5,1983-02-02T19:00:00Z,-37.8216,142.0668,50,1005.5,287.8,288.2,0,860.4,64.7,6.8,6.9,21.9,605.6,2
