run,receptor,hour_along,traj_dt,lat,lon,height,traj_dt_i,lat_i,lon_i,height_i,pressure,theta,air_temp,rainfall,mixdepth,rh,sp_humidity,h2o_mixrate,terr_msl,sun_flux
date_1982-11-06_loc_HAMILTON,1,0,1982-11-05T19:00:00Z,-37.822,142.067,50,1982-11-05T19:00:00Z,-37.8216,142.0668,50,990.5,297.3,296.5,0,269.1,22.1,4,4,89.8,0
date_1982-11-06_loc_HAMILTON,1,-1,1982-11-05T18:00:00Z,-37.449,142.044,48.5,1982-11-05T19:00:00Z,-37.8216,142.0668,50,989.7,297.5,296.7,0,250,19,3.4,3.5,99.6,0
date_1982-11-06_loc_HAMILTON,1,-2,1982-11-05T17:00:00Z,-37.11,142.053,47.7,1982-11-05T19:00:00Z,-37.8216,142.0668,50,991.7,297.4,296.7,0,250,19.5,3.5,3.6,79.5,0
date_1982-11-06_loc_HAMILTON,1,-3,1982-11-05T16:00:00Z,-36.829,142.088,46.9,1982-11-05T19:00:00Z,-37.8216,142.0668,50,993.5,297.5,296.9,0,250,19.6,3.6,3.6,74.9,0
date_1982-11-06_loc_HAMILTON,1,-4,1982-11-05T15:00:00Z,-36.601,142.145,46.3,1982-11-05T19:00:00Z,-37.8216,142.0668,50,995,297.6,297.2,0,250,19.5,3.6,3.7,70.8,0
date_1982-11-06_loc_HAMILTON,1,-5,1982-11-05T14:00:00Z,-36.421,142.222,46.1,1982-11-05T19:00:00Z,-37.8216,142.0668,50,996.3,297.9,297.5,0,250,19.2,3.6,3.7,67.2,0
date_1982-11-06_loc_HAMILTON,1,-6,1982-11-05T13:00:00Z,-36.287,142.318,46.2,1982-11-05T19:00:00Z,-37.8216,142.0668,50,997.4,298.2,297.9,0,250,18.7,3.6,3.7,63.9,0
date_1982-11-06_loc_HAMILTON,1,-7,1982-11-05T12:00:00Z,-36.198,142.434,46.7,1982-11-05T19:00:00Z,-37.8216,142.0668,50,998.3,298.5,298.3,0,250,18.3,3.6,3.7,61.1,0
date_1982-11-06_loc_HAMILTON,1,-8,1982-11-05T11:00:00Z,-36.133,142.536,47.1,1982-11-05T19:00:00Z,-37.8216,142.0668,50,998.1,300.3,300.1,0,666.3,16.3,3.6,3.6,63.7,0
date_1982-11-06_loc_HAMILTON,1,-9,1982-11-05T10:00:00Z,-36.068,142.591,46.8,1982-11-05T19:00:00Z,-37.8216,142.0668,50,997.7,302.1,301.9,0,1082.6,14.4,3.5,3.6,65.8,0
date_1982-11-06_loc_HAMILTON,1,-10,1982-11-05T09:00:00Z,-36.002,142.601,45.6,1982-11-05T19:00:00Z,-37.8216,142.0668,50,997.8,303.8,303.6,0,1498.9,12.6,3.4,3.5,64.7,0
date_1982-11-06_loc_HAMILTON,1,-11,1982-11-05T08:00:00Z,-35.933,142.566,43.7,1982-11-05T19:00:00Z,-37.8216,142.0668,50,998.2,305.6,305.5,0,1915.6,10.9,3.3,3.3,60.4,223.9
date_1982-11-06_loc_HAMILTON,1,-12,1982-11-05T07:00:00Z,-35.861,142.489,40.9,1982-11-05T19:00:00Z,-37.8216,142.0668,50,999,307.4,307.3,0,2330.8,9.2,3.1,3.1,54.1,445.6
