NAME,run,receptor,hour_along,traj_dt,lat,lon,height,traj_dt_i,lat_i,lon_i,height_i,pressure,theta,air_temp,rainfall,mixdepth,rh,sp_humidity,h2o_mixrate,terr_msl,sun_flux,par_name,par_value
Victoria,1,1,NA,1981-04-10T20:00:00Z,-37.397,143.084,1000,1981-04-10T20:00:00Z,-37.397341,143.083979,1000,892.7,296.1,286.6,0,259.7,25.1,2.7,2.7,127,0,lat,-37.397341
Victoria,1,1,NA,1981-04-10T20:00:00Z,-37.397,143.084,1000,1981-04-10T20:00:00Z,-37.397341,143.083979,1000,892.7,296.1,286.6,0,259.7,25.1,2.7,2.7,127,0,lon,143.083979
Victoria,1,1,NA,1981-04-10T20:00:00Z,-37.397,143.084,1000,1981-04-10T20:00:00Z,-37.397341,143.083979,1000,892.7,296.1,286.6,0,259.7,25.1,2.7,2.7,127,0,height,1000
Victoria,1,1,NA,1981-04-10T20:00:00Z,-37.397,143.084,1000,1981-04-10T20:00:00Z,-37.397341,143.083979,1000,892.7,296.1,286.6,0,259.7,25.1,2.7,2.7,127,0,days_AEDT,1981-04-11
Victoria,1,1,NA,1981-04-10T20:00:00Z,-37.397,143.084,1000,1981-04-10T20:00:00Z,-37.397341,143.083979,1000,892.7,296.1,286.6,0,259.7,25.1,2.7,2.7,127,0,daily_hours_AEDT,6
Victoria,1,1,NA,1981-04-10T20:00:00Z,-37.397,143.084,1000,1981-04-10T20:00:00Z,-37.397341,143.083979,1000,892.7,296.1,286.6,0,259.7,25.1,2.7,2.7,127,0,duration,12
Victoria,1,1,NA,1981-04-10T20:00:00Z,-37.397,143.084,1000,1981-04-10T20:00:00Z,-37.397341,143.083979,1000,892.7,296.1,286.6,0,259.7,25.1,2.7,2.7,127,0,max_n_steps,3
Victoria,1,1,NA,1981-04-10T20:00:00Z,-37.397,143.084,1000,1981-04-10T20:00:00Z,-37.397341,143.083979,1000,892.7,296.1,286.6,0,259.7,25.1,2.7,2.7,127,0,temp_thresh,12
Victoria,1,1,NA,1981-04-10T20:00:00Z,-37.397,143.084,1000,1981-04-10T20:00:00Z,-37.397341,143.083979,1000,892.7,296.1,286.6,0,259.7,25.1,2.7,2.7,127,0,NA,NA
Victoria,1,1,NA,1981-04-10T20:00:00Z,-37.397,143.084,1000,1981-04-10T20:00:00Z,-37.397341,143.083979,1000,892.7,296.1,286.6,0,259.7,25.1,2.7,2.7,127,0,NA,NA
Victoria,1,1,NA,1981-04-10T20:00:00Z,-37.397,143.084,1000,1981-04-10T20:00:00Z,-37.397341,143.083979,1000,892.7,296.1,286.6,0,259.7,25.1,2.7,2.7,127,0,NA,NA
Victoria,1,1,NA,1981-04-10T20:00:00Z,-37.397,143.084,1000,1981-04-10T20:00:00Z,-37.397341,143.083979,1000,892.7,296.1,286.6,0,259.7,25.1,2.7,2.7,127,0,NA,NA
Victoria,1,1,NA,1981-04-10T20:00:00Z,-37.397,143.084,1000,1981-04-10T20:00:00Z,-37.397341,143.083979,1000,892.7,296.1,286.6,0,259.7,25.1,2.7,2.7,127,0,NA,NA
Victoria,1,1,NA,1981-04-10T20:00:00Z,-37.397,143.084,1000,1981-04-10T20:00:00Z,-37.397341,143.083979,1000,892.7,296.1,286.6,0,259.7,25.1,2.7,2.7,127,0,NA,NA
Victoria,1,1,NA,1981-04-10T20:00:00Z,-37.397,143.084,1000,1981-04-10T20:00:00Z,-37.397341,143.083979,1000,892.7,296.1,286.6,0,259.7,25.1,2.7,2.7,127,0,NA,NA
