NAME,run,receptor,hour_along,traj_dt,lat,lon,height,traj_dt_i,lat_i,lon_i,height_i,pressure,theta,air_temp,rainfall,mixdepth,rh,sp_humidity,h2o_mixrate,terr_msl,sun_flux,step,par_name,par_value
Victoria,1,1,0,1982-02-02T19:00:00Z,-36.101,146.507,1000,1982-02-02T19:00:00Z,-36.101,146.5073,1000,865.8,298,285.9,0,367,59.4,6.3,6.3,367.5,0,1,lat,-36.101
Victoria,1,1,-1,1982-02-02T18:00:00Z,-36.011,146.518,1013.1,1982-02-02T19:00:00Z,-36.101,146.5073,1000,863.7,298.1,285.8,0,281.7,60,6.3,6.4,370.7,0,1,lon,146.5073
New South Wales,1,1,-2,1982-02-02T17:00:00Z,-35.928,146.548,1027.4,1982-02-02T19:00:00Z,-36.101,146.5073,1000,861.9,298.3,285.9,0,321.5,59.2,6.2,6.3,376.5,0,1,height,1000
New South Wales,1,1,-3,1982-02-02T16:00:00Z,-35.868,146.596,1043.1,1982-02-02T19:00:00Z,-36.101,146.5073,1000,859.9,298.6,285.9,0,364.6,58.5,6.2,6.3,382.8,0,1,days_AEDT,1982-02-03
New South Wales,1,1,-4,1982-02-02T15:00:00Z,-35.832,146.661,1060.5,1982-02-02T19:00:00Z,-36.101,146.5073,1000,857.6,298.8,285.9,0,409.1,57.9,6.2,6.2,390.1,0,1,daily_hours_AEDT,6
New South Wales,1,1,-5,1982-02-02T14:00:00Z,-35.821,146.742,1080.4,1982-02-02T19:00:00Z,-36.101,146.5073,1000,855,299,285.9,0,453.6,57.5,6.1,6.2,398.2,0,1,duration,12
New South Wales,1,1,-6,1982-02-02T13:00:00Z,-35.834,146.838,1102.9,1982-02-02T19:00:00Z,-36.101,146.5073,1000,852,299.3,285.8,0,496.2,57.3,6.1,6.2,406.9,0,1,max_n_steps,3
New South Wales,1,1,-7,1982-02-02T12:00:00Z,-35.871,146.946,1128.5,1982-02-02T19:00:00Z,-36.101,146.5073,1000,848.8,299.5,285.7,0,535.3,57.3,6.1,6.1,415.7,0,1,temp_thresh,12
New South Wales,1,1,-8,1982-02-02T11:00:00Z,-35.924,147.045,1154.1,1982-02-02T19:00:00Z,-36.101,146.5073,1000,844.9,299.8,285.7,0,601.9,56.9,6,6.1,423.3,0,1,NA,NA
New South Wales,1,1,-9,1982-02-02T10:00:00Z,-35.983,147.118,1176.3,1982-02-02T19:00:00Z,-36.101,146.5073,1000,842,300.1,285.7,0,667.1,56.4,6,6.1,427.2,0,1,NA,NA
Victoria,1,1,-10,1982-02-02T09:00:00Z,-36.048,147.167,1195.1,1982-02-02T19:00:00Z,-36.101,146.5073,1000,839.8,300.3,285.7,0,732.5,56,6,6,428.3,59.5,1,NA,NA
Victoria,1,1,-11,1982-02-02T08:00:00Z,-36.118,147.193,1210.5,1982-02-02T19:00:00Z,-36.101,146.5073,1000,838.2,300.6,285.7,0,799.5,55.5,6,6,427.1,282.2,1,NA,NA
Victoria,1,1,-12,1982-02-02T07:00:00Z,-36.195,147.197,1222.7,1982-02-02T19:00:00Z,-36.101,146.5073,1000,837.1,300.7,285.8,0,869,55.2,6,6,423.7,498.6,1,NA,NA
Victoria,1,1,0,1982-02-02T19:00:00Z,-36.195,147.197,1000,1982-02-02T19:00:00Z,-36.195,147.197,1000,859.8,297.9,285.3,0,381.5,62.3,6.3,6.4,425.6,0,2,NA,NA
Victoria,1,1,-1,1982-02-02T18:00:00Z,-36.106,147.197,1014.7,1982-02-02T19:00:00Z,-36.195,147.197,1000,857.5,298.1,285.2,0,300.2,62.6,6.4,6.4,429.5,0,2,NA,NA
New South Wales,1,1,-2,1982-02-02T17:00:00Z,-36.025,147.215,1030.7,1982-02-02T19:00:00Z,-36.195,147.197,1000,855.5,298.3,285.3,0,334.1,61.9,6.3,6.4,433.7,0,2,NA,NA
New South Wales,1,1,-3,1982-02-02T16:00:00Z,-35.967,147.249,1047.9,1982-02-02T19:00:00Z,-36.195,147.197,1000,853.4,298.6,285.3,0,371.8,61.3,6.3,6.4,439.6,0,2,NA,NA
New South Wales,1,1,-4,1982-02-02T15:00:00Z,-35.932,147.298,1067,1982-02-02T19:00:00Z,-36.195,147.197,1000,851.1,298.8,285.3,0,411.5,60.8,6.3,6.3,445.9,0,2,NA,NA
