NAME,run,receptor,hour_along,traj_dt,lat,lon,height,traj_dt_i,lat_i,lon_i,height_i,pressure,theta,air_temp,rainfall,mixdepth,rh,sp_humidity,h2o_mixrate,terr_msl,sun_flux,step,par_name,par_value
Victoria,1,1,0,1981-04-06T20:00:00Z,-37.397,143.084,1000,1981-04-06T20:00:00Z,-37.397341,143.083979,1000,891.2,295.5,285.9,0,260.1,45,4.6,4.6,130.4,0,1,lat,-37.397341
Victoria,1,1,-1,1981-04-06T19:00:00Z,-37.262,143.077,1008.1,1981-04-06T20:00:00Z,-37.397341,143.083979,1000,890.7,295.3,285.7,0,255,46,4.6,4.7,127.5,0,1,lon,143.083979
Victoria,1,1,-2,1981-04-06T18:00:00Z,-37.138,143.095,1020.9,1981-04-06T20:00:00Z,-37.397341,143.083979,1000,889.2,295.3,285.5,0,250,46.6,4.6,4.7,126.3,0,1,height,1000
Victoria,1,1,-3,1981-04-06T17:00:00Z,-37.027,143.134,1035.9,1981-04-06T20:00:00Z,-37.397341,143.083979,1000,887.3,295.6,285.7,0,258.7,45.3,4.6,4.6,126.3,0,1,days_AEDT,1981-04-07
Victoria,1,1,-4,1981-04-06T16:00:00Z,-36.931,143.19,1051.1,1981-04-06T20:00:00Z,-37.397341,143.083979,1000,885.6,295.9,285.8,0,269.4,44.1,4.5,4.5,128.6,0,1,daily_hours_AEDT,6
Victoria,1,1,-5,1981-04-06T15:00:00Z,-36.852,143.263,1066.6,1981-04-06T20:00:00Z,-37.397341,143.083979,1000,883.6,296.3,285.9,0,282.1,43.1,4.5,4.5,132.3,0,1,duration,12
Victoria,1,1,-6,1981-04-06T14:00:00Z,-36.789,143.35,1082.6,1981-04-06T20:00:00Z,-37.397341,143.083979,1000,881.5,296.6,286,0,296.5,42.1,4.4,4.4,137.4,0,1,max_n_steps,3
Victoria,1,1,-7,1981-04-06T13:00:00Z,-36.742,143.452,1099.6,1981-04-06T20:00:00Z,-37.397341,143.083979,1000,879.2,296.9,286.1,0,312.6,41,4.3,4.3,143.7,0,1,temp_thresh,12
Victoria,1,1,-8,1981-04-06T12:00:00Z,-36.712,143.567,1117.9,1981-04-06T20:00:00Z,-37.397341,143.083979,1000,876.6,297.2,286.2,0,330.2,40,4.2,4.3,151.3,0,1,NA,NA
Victoria,1,1,-9,1981-04-06T11:00:00Z,-36.697,143.681,1137,1981-04-06T20:00:00Z,-37.397341,143.083979,1000,873.4,297.5,286.2,0,435.1,40.1,4.3,4.3,160.8,0,1,NA,NA
Victoria,1,1,-10,1981-04-06T10:00:00Z,-36.696,143.783,1156.4,1981-04-06T20:00:00Z,-37.397341,143.083979,1000,870.4,297.7,286.1,0,540.6,40.2,4.3,4.3,167.7,0,1,NA,NA
Victoria,1,1,-11,1981-04-06T09:00:00Z,-36.708,143.871,1175.7,1981-04-06T20:00:00Z,-37.397341,143.083979,1000,867.5,298,286.1,0,645.4,40.4,4.3,4.3,174,0,1,NA,NA
Victoria,1,1,-12,1981-04-06T08:00:00Z,-36.732,143.947,1194.5,1981-04-06T20:00:00Z,-37.397341,143.083979,1000,864.7,298.1,286,0,748.4,40.6,4.3,4.3,179.6,30.8,1,NA,NA
Victoria,1,1,NA,1981-04-05T20:00:00Z,-36.732,143.947,1000,1981-04-05T20:00:00Z,-36.732,143.947,1000,885.2,294.9,284.8,0,510.6,62.5,6,6,170.7,0,2,NA,NA
